RBG_CYC_66824_Nw_c0_41V_40C_C10C10_170627_622BNG_VC211_100DOD_127 (155723 Points)
Capacity (mAh)	Voltage (V)
113.9	3.6774
117.3	3.6848
120.6	3.6929
124	3.7019
127.3	3.7109
130.7	3.7208
134	3.7313
137.3	3.7428
140.7	3.7546
144.1	3.7673
147.4	3.7806
150.8	3.794
154.1	3.8082
157.4	3.8225
160.8	3.8371
164.2	3.8519
167.5	3.8671
170.8	3.8826
174.2	3.8981
177.6	3.9143
180.9	3.9313
184.3	3.9487
187.6	3.9667
190.9	3.9837
194.3	4.0008
197.7	4.0178
201	4.0349
204.3	4.0519
207.7	4.069
211.1	4.086
214.2	4.099
214.4	4.099
0	4.0925
3.4	4.0628
6.7	4.0426
10.1	4.0234
13.4	4.0045
16.8	3.9856
20.1	3.9663
23.4	3.9471
26.8	3.9276
30.1	3.9081
33.5	3.8888
36.9	3.8715
40.2	3.855
43.5	3.8392
46.9	3.824
50.3	3.8092
53.6	3.7946
57	3.7806
60.3	3.7664
63.6	3.7527
67	3.7394
70.3	3.7267
73.7	3.7143
77	3.7025
80.4	3.691
83.8	3.6808
87.1	3.6709
90.5	3.6613
93.8	3.6526
97.2	3.6445
100.5	3.6368
103.8	3.6297
107.2	3.6225
110.5	3.6157
113.9	3.6095
117.3	3.6027
120.6	3.5959
124	3.5894
127.3	3.5822
130.7	3.5751
134	3.568
137.3	3.5605
140.7	3.5528
144.1	3.5447
147.4	3.536
150.8	3.5267
154.1	3.5165
157.4	3.5044
160.8	3.4917
164.2	3.4787
167.5	3.4666
170.8	3.4567
174.2	3.4486
177.6	3.4412
180.9	3.434
184.3	3.426
187.6	3.4173
190.9	3.4071
194.3	3.394
197.7	3.3739
201	3.337
203.5	3.297
204.3	3.2815
206.3	3.2415
207.7	3.2105
209.3	3.1705
210.6	3.1305
211.1	3.1163
212.2	3.0763
213.1	3.0363
213.9	3
0	3.0124
0.3	3.0524
0.8	3.0924
1.6	3.1324
2.5	3.1724
3.4	3.204
4.6	3.244
6.2	3.284
6.7	3.2964
8.7	3.3364
10.1	3.3606
12.7	3.4006
13.4	3.4089
16.8	3.4384
20.1	3.4483
23.4	3.4557
26.8	3.4629
30.1	3.47
33.5	3.4771
36.9	3.4852
40.2	3.4939
43.5	3.5035
46.9	3.515
50.3	3.5264
53.6	3.5382
57	3.5503
60.3	3.5618
63.6	3.5723
67	3.5832
70.3	3.5943
73.7	3.603
77	3.6104
80.4	3.617
83.8	3.6232
87.1	3.629
90.5	3.6352
93.8	3.6408
97.2	3.6464
100.5	3.6523
103.8	3.6582
107.2	3.6644
110.5	3.6712
113.9	3.678
117.3	3.6852
120.6	3.6932
124	3.7022
127.3	3.7115
130.7	3.7214
134	3.7326
137.3	3.7437
140.7	3.7558
144.1	3.7686
147.4	3.7816
150.8	3.7955
154.1	3.8092
157.4	3.8234
160.8	3.838
164.2	3.8532
167.5	3.8681
170.8	3.8836
174.2	3.8994
177.6	3.9155
180.9	3.9326
184.3	3.9502
187.6	3.9679
190.9	3.9853
194.3	4.002
197.7	4.019
201	4.0364
204.3	4.0531
207.7	4.0705
211.1	4.0876
214.1	4.0993
214.1	4.0993
0	4.0925
3.4	4.0631
6.7	4.0426
10.1	4.0234
13.4	4.0042
16.8	3.9856
20.1	3.966
23.4	3.9471
26.8	3.927
30.1	3.9074
33.5	3.8885
36.9	3.8712
40.2	3.8547
43.5	3.8392
46.9	3.824
50.3	3.8092
53.6	3.7943
57	3.7803
60.3	3.7664
63.6	3.7527
67	3.7394
70.3	3.7267
73.7	3.714
77	3.7025
80.4	3.691
83.8	3.6808
87.1	3.6709
90.5	3.6613
93.8	3.6526
97.2	3.6445
100.5	3.6368
103.8	3.6294
107.2	3.6225
110.5	3.6157
113.9	3.6095
117.3	3.6027
120.6	3.5959
124	3.589
127.3	3.5822
130.7	3.5751
134	3.568
137.3	3.5605
140.7	3.5525
144.1	3.5444
147.4	3.5357
150.8	3.5264
154.1	3.5162
157.4	3.5038
160.8	3.4911
164.2	3.4781
167.5	3.466
170.8	3.4561
174.2	3.4483
177.6	3.4412
180.9	3.4337
184.3	3.4257
187.6	3.417
190.9	3.4068
194.3	3.3934
197.7	3.373
201	3.3342
203.4	3.2942
204.3	3.2778
206.3	3.2378
207.7	3.2059
209.2	3.1659
210.6	3.1259
211.1	3.1098
212.1	3.0698
213.1	3.0298
213.7	3
0	3.013
0.3	3.053
0.9	3.093
1.6	3.133
2.5	3.173
3.4	3.2034
4.6	3.2434
6.1	3.2834
6.7	3.2961
8.7	3.3361
10.1	3.3603
12.7	3.4006
13.4	3.4089
16.8	3.4387
20.1	3.4486
23.4	3.4561
26.8	3.4632
30.1	3.4703
33.5	3.4774
36.9	3.4852
40.2	3.4939
43.5	3.5038
46.9	3.515
50.3	3.5267
53.6	3.5385
57	3.5503
60.3	3.5621
63.6	3.5726
67	3.5832
70.3	3.5943
73.7	3.6033
77	3.6108
80.4	3.6173
83.8	3.6232
87.1	3.6297
90.5	3.6356
93.8	3.6414
97.2	3.647
100.5	3.6526
103.8	3.6588
107.2	3.665
110.5	3.6715
113.9	3.6786
117.3	3.6861
120.6	3.6941
124	3.7028
127.3	3.7121
130.7	3.722
134	3.7332
137.3	3.7447
140.7	3.7568
144.1	3.7692
147.4	3.7825
150.8	3.7965
154.1	3.8104
157.4	3.8244
160.8	3.8389
164.2	3.8538
167.5	3.869
170.8	3.8845
174.2	3.9003
177.6	3.9164
180.9	3.9332
184.3	3.9512
187.6	3.9688
190.9	3.9862
194.3	4.0032
197.7	4.0206
201	4.0376
204.3	4.0547
207.7	4.0714
211.1	4.0888
213.9	4.0993
0	4.0925
3.4	4.0628
6.7	4.0426
10.1	4.0237
13.4	4.0045
16.8	3.9856
20.1	3.966
23.4	3.9468
26.8	3.9267
30.1	3.9071
33.5	3.8882
36.9	3.8712
40.2	3.8547
43.5	3.8392
46.9	3.824
50.3	3.8092
53.6	3.7946
57	3.7803
60.3	3.7664
63.6	3.7527
67	3.7394
70.3	3.7267
73.7	3.7143
77	3.7025
80.4	3.691
83.8	3.6808
87.1	3.6709
90.5	3.6616
93.8	3.6526
97.2	3.6445
100.5	3.6368
103.8	3.6297
107.2	3.6225
110.5	3.6157
113.9	3.6095
117.3	3.6027
120.6	3.5959
124	3.589
127.3	3.5819
130.7	3.5751
134	3.568
137.3	3.5602
140.7	3.5525
144.1	3.5444
147.4	3.5357
150.8	3.5261
154.1	3.5159
157.4	3.5035
160.8	3.4905
164.2	3.4778
167.5	3.4657
170.8	3.4561
174.2	3.4483
177.6	3.4412
180.9	3.434
184.3	3.426
187.6	3.4173
190.9	3.4074
194.3	3.3937
197.7	3.3727
201	3.333
203.4	3.293
204.3	3.2762
206.3	3.2362
207.7	3.204
209.2	3.164
210.5	3.124
211.1	3.1067
212.1	3.0667
213.1	3.0267
213.6	3
0	3.0137
0.3	3.054
0.9	3.0943
1.6	3.1343
2.6	3.1746
3.4	3.2031
4.6	3.2431
6.1	3.2831
6.7	3.2958
8.7	3.3358
10.1	3.3603
12.7	3.4006
13.4	3.4089
16.8	3.4387
20.1	3.4486
23.4	3.4564
26.8	3.4635
30.1	3.4706
33.5	3.4774
36.9	3.4852
40.2	3.4939
43.5	3.5038
46.9	3.515
50.3	3.5264
53.6	3.5385
57	3.55
60.3	3.5621
63.6	3.5726
67	3.5828
70.3	3.594
73.7	3.6033
77	3.6104
80.4	3.6173
83.8	3.6232
87.1	3.6294
90.5	3.6356
93.8	3.6414
97.2	3.6473
100.5	3.6526
103.8	3.6588
107.2	3.665
