RBG_CYC_83755_Nw_c0_41V_40C_180416_Lowercutoff_100DOD_C5C5_0000_08_1 (269954 Points)
Capacity (mAh)	Voltage (V)
188.45	3.9663
191.82	3.9822
195.18	3.9977
198.55	4.0132
201.91	4.0293
205.28	4.0451
208.64	4.0615
212.01	4.078
215.37	4.0944
217.96	4.0981
219.17	4.0981
219.19	4.0981
0	4.0913
3.37	4.0612
6.73	4.0423
10.1	4.024
13.46	4.0063
16.83	3.9887
20.19	3.9713
23.56	3.9539
26.92	3.9366
30.29	3.9189
33.65	3.9009
37.02	3.8826
40.38	3.864
43.75	3.8461
47.11	3.8293
50.48	3.8132
53.84	3.798
57.21	3.7828
60.57	3.7682
63.94	3.7543
67.3	3.741
70.67	3.7276
74.03	3.7146
77.4	3.7025
80.76	3.6907
84.13	3.6799
87.49	3.6697
90.86	3.66
94.22	3.6507
97.59	3.6427
100.96	3.6349
104.32	3.6275
107.69	3.6207
111.05	3.6142
114.42	3.608
117.78	3.6021
121.15	3.5962
124.51	3.5903
127.88	3.5841
131.24	3.5782
134.61	3.572
137.97	3.5655
141.34	3.5587
144.7	3.5515
148.07	3.5438
151.43	3.5357
154.8	3.527
158.16	3.5181
161.53	3.5075
164.89	3.496
168.26	3.4833
171.62	3.4709
174.99	3.4585
178.35	3.4471
181.72	3.4375
185.08	3.4294
188.45	3.4207
191.81	3.4114
195.18	3.3999
198.54	3.3866
201.91	3.3692
205.28	3.3451
208.64	3.3045
211.3	3.2545
212.01	3.2393
213.97	3.1891
215.37	3.147
216.75	3.097
217.92	3.0468
218.74	3.0053
218.84	2.9994
0	3.0502
0.22	3.1008
0.81	3.1513
1.79	3.2015
3.2	3.2517
3.37	3.2567
5.22	3.3069
6.73	3.3404
9.52	3.3906
10.1	3.3996
13.46	3.4409
16.83	3.4545
20.19	3.4629
23.56	3.4703
26.92	3.4774
30.29	3.4846
33.65	3.4917
37.02	3.5004
40.38	3.51
43.75	3.5205
47.11	3.532
50.48	3.5438
53.84	3.5559
57.21	3.567
60.57	3.5785
63.94	3.5894
67.3	3.5993
70.67	3.6077
74.03	3.6148
77.4	3.6213
80.76	3.6272
84.13	3.6328
87.5	3.6377
90.86	3.643
94.23	3.648
97.59	3.6532
100.96	3.6588
104.32	3.6641
107.69	3.67
111.05	3.6759
114.42	3.683
117.78	3.6901
121.15	3.6976
124.51	3.7059
127.88	3.7152
131.24	3.7248
134.61	3.7354
137.97	3.7468
141.34	3.7586
144.7	3.7713
148.07	3.7844
151.43	3.7983
154.8	3.8126
158.16	3.8271
161.53	3.842
164.89	3.8569
168.26	3.8724
171.63	3.8879
174.99	3.9043
178.36	3.9208
181.72	3.9363
185.09	3.9521
188.45	3.9673
191.82	3.9828
195.18	3.9986
198.55	4.0141
201.91	4.0302
205.28	4.046
208.64	4.0628
212.01	4.0792
215.37	4.0956
217.84	4.0981
218.9	4.0981
0	4.091
3.37	4.0612
6.73	4.0423
10.1	4.024
13.46	4.0063
16.83	3.9884
20.19	3.971
23.56	3.9536
26.92	3.9363
30.29	3.9186
33.65	3.9003
37.02	3.8817
40.38	3.8634
43.75	3.8454
47.11	3.8287
50.48	3.8126
53.84	3.7971
57.21	3.7828
60.57	3.7682
63.94	3.754
67.3	3.7403
70.67	3.727
74.03	3.7146
77.4	3.7022
80.77	3.6904
84.13	3.6799
87.5	3.669
90.86	3.6597
94.23	3.6507
97.59	3.6424
100.96	3.6346
104.32	3.6272
107.69	3.6204
111.05	3.6142
114.42	3.6077
117.78	3.6018
121.15	3.5959
124.51	3.59
127.88	3.5841
131.24	3.5779
134.61	3.5717
137.97	3.5652
141.34	3.558
144.7	3.5509
148.07	3.5432
151.44	3.5354
154.8	3.5264
158.17	3.5171
161.53	3.5069
164.9	3.4951
168.26	3.4821
171.63	3.4697
174.99	3.4573
178.36	3.4461
181.72	3.4371
185.09	3.4294
188.45	3.4204
191.82	3.4108
195.18	3.3993
198.55	3.386
201.91	3.3683
205.28	3.3429
208.64	3.2998
211.21	3.2496
212.01	3.2319
213.93	3.1817
215.37	3.1374
216.7	3.0874
217.84	3.0369
218.56	2.9994
0	3.0484
0.25	3.0989
0.84	3.1491
1.85	3.1994
3.25	3.2499
3.37	3.2533
5.21	3.3035
6.73	3.3373
9.46	3.3875
10.1	3.3975
13.46	3.4399
16.83	3.4545
20.19	3.4626
23.56	3.47
26.92	3.4771
30.29	3.4846
33.65	3.4917
37.02	3.5004
40.38	3.5097
43.75	3.5202
47.11	3.5317
50.48	3.5435
53.84	3.5556
57.21	3.5667
60.57	3.5782
63.94	3.589
67.3	3.5993
70.67	3.6077
74.04	3.6151
77.4	3.6213
80.77	3.6269
84.13	3.6328
87.5	3.638
90.86	3.643
94.23	3.6483
97.59	3.6532
100.96	3.6585
104.32	3.6644
107.69	3.67
111.05	3.6762
114.42	3.683
117.78	3.6901
121.15	3.6979
124.51	3.7062
128.94	3.7186
131.26	3.7255
134.62	3.736
137.99	3.7472
141.35	3.7593
144.72	3.772
148.07	3.7853
151.44	3.7989
154.8	3.8132
158.17	3.8275
161.53	3.8426
164.9	3.8575
168.26	3.873
171.63	3.8888
174.99	3.905
178.36	3.9214
181.72	3.9372
185.09	3.9527
188.45	3.9682
191.82	3.9837
195.18	3.9995
198.55	4.015
201.91	4.0311
205.28	4.0473
208.65	4.0637
212.01	4.0801
215.38	4.0966
217.72	4.0981
218.67	4.0981
0	4.091
3.37	4.0612
6.73	4.0423
10.1	4.024
13.46	4.0063
16.83	3.9884
20.19	3.9707
23.56	3.9533
26.92	3.936
30.29	3.918
33.65	3.8997
37.02	3.8814
40.38	3.8628
43.75	3.8448
47.11	3.8284
50.48	3.8123
53.84	3.7968
57.21	3.7822
60.57	3.7679
63.94	3.7537
67.3	3.7403
70.67	3.727
74.04	3.714
77.4	3.7019
80.77	3.6904
84.13	3.6796
87.5	3.669
90.86	3.6594
94.23	3.6501
97.59	3.6421
100.96	3.6343
104.32	3.6269
107.69	3.6201
111.05	3.6139
114.42	3.6073
117.78	3.6015
121.15	3.5956
124.51	3.5894
127.88	3.5838
131.25	3.5776
134.61	3.5714
137.98	3.5646
141.34	3.5577
144.71	3.5506
148.07	3.5429
151.44	3.5348
154.8	3.5258
158.17	3.5165
161.53	3.5057
164.9	3.4942
168.26	3.4812
171.63	3.4685
174.99	3.4564
178.36	3.4458
181.72	3.4368
185.09	3.4288
188.45	3.4201
191.82	3.4105
195.18	3.399
198.55	3.3851
201.92	3.3671
205.28	3.3398
208.65	3.2942
211.17	3.244
212.01	3.2245
213.88	3.1736
215.38	3.1268
216.68	3.0766
217.77	3.0261
218.27	2.9997
0	3.0468
0.26	3.0974
0.87	3.1476
1.88	3.1978
3.28	3.248
3.37	3.2502
5.16	3.3004
6.73	3.3355
9.43	3.3857
10.1	3.3962
13.46	3.439
16.83	3.4545
20.19	3.4626
23.56	3.47
26.92	3.4774
30.29	3.4843
33.65	3.4917
37.02	3.5004
40.38	3.5097
43.75	3.5202
47.11	3.5317
50.48	3.5432
53.84	3.5556
57.21	3.5667
60.57	3.5782
63.94	3.589
67.31	3.599
70.67	3.6077
74.04	3.6151
77.4	3.6213
80.77	3.6272
84.13	3.6328
87.5	3.638
90.86	3.643
94.23	3.6483
97.59	3.6535
100.96	3.6591
104.32	3.6644
107.69	3.6703
111.05	3.6765
114.42	3.6833
117.78	3.6904
121.15	3.6982
124.51	3.7065
127.88	3.7158
131.25	3.7258
134.61	3.7366
137.98	3.7478
141.34	3.7602
144.71	3.7726
148.07	3.7862
151.44	3.7999
154.8	3.8141
158.17	3.8287
