RBG_CYC_66824_Nw_c0_41V_40C_C10C10_170627_622BNG_VC211_100DOD_127 (155722 Points)
Time (s)	Current (mAh)
301986	10.1
301986	-20.1
302586	-20.1
303186	-20.1
303786	-20.1
304386	-20.1
304986	-20.1
305586	-20.1
306186	-20.1
306786	-20.1
307386	-20.1
307986	-20.1
308586	-20.1
309186	-20.1
309786	-20.1
310386	-20.1
310986	-20.1
311586	-20.1
312186	-20.1
312786	-20.1
313386	-20.1
313986	-20.1
314586	-20.1
315186	-20.1
315786	-20.1
316386	-20.1
316986	-20.1
317586	-20.1
318186	-20.1
318786	-20.1
319386	-20.1
319986	-20.1
320586	-20.1
321186	-20.1
321786	-20.1
322386	-20.1
322986	-20.1
323586	-20.1
324186	-20.1
324786	-20.1
325386	-20.1
325986	-20.1
326586	-20.1
327186	-20.1
327786	-20.1
328386	-20.1
328986	-20.1
329586	-20.1
330186	-20.1
330786	-20.1
331386	-20.1
331986	-20.1
332586	-20.1
333186	-20.1
333786	-20.1
334386	-20.1
334986	-20.1
335586	-20.1
336186	-20.1
336786	-20.1
337386	-20.1
337986	-20.1
338469	-20.1
338586	-20.1
338965	-20.1
339186	-20.1
339485	-20.1
339747	-20.1
339786	-20.1
340009	-20.1
340203	-20.1
340371	-20.1
340386	-20.1
340464	-20.1
340465	20.1
340509	20.1
340610	20.1
340744	20.1
340910	20.1
341064	20.1
341295	20.1
341574	20.1
341665	20.1
342019	20.1
342264	20.1
342744	20.1
342864	20.1
343464	20.1
344064	20.1
344664	20.1
345264	20.1
345865	20.1
346464	20.1
347064	20.1
347664	20.1
348264	20.1
348864	20.1
349464	20.1
350064	20.1
350664	20.1
351264	20.1
351864	20.1
352464	20.1
353064	20.1
353664	20.1
354264	20.1
354865	20.1
355464	20.1
356064	20.1
356664	20.1
357264	20.1
357864	20.1
358464	20.1
359064	20.1
359664	20.1
360264	20.1
360864	20.1
361465	20.1
362064	20.1
362664	20.1
363264	20.1
363864	20.1
364464	20.1
365064	20.1
365664	20.1
366264	20.1
366864	20.1
367464	20.1
368065	20.1
368664	20.1
369264	20.1
369864	20.1
370465	20.1
371064	20.1
371664	20.1
372264	20.1
372864	20.1
373464	20.1
374064	20.1
374664	20.1
375264	20.1
375864	20.1
376464	20.1
377064	20.1
377664	20.1
378264	20.1
